Filename,Average Concentration (uM),Standard Deviation (uM)
test - Copy.pssession,-137.95,1.80
test - Copy (2).pssession,-137.95,1.80
test - Copy (2) - Copy.pssession,-137.95,1.80
test - Copy (3) - Copy.pssession,-137.95,1.80
test - Copy.pssession,-137.95,1.80
